UserID,Taken_product,Yearly_avg_view_on_travel_page,preferred_device,total_likes_on_outstation_checkin_given,yearly_avg_Outstation_checkins,member_in_family,preferred_location_type,Yearly_avg_comment_on_travel_page,total_likes_on_outofstation_checkin_received,week_since_last_outstation_checkin,following_company_page,montly_avg_comment_on_company_page,working_flag,travelling_network_rating,Adult_flag,Daily_Avg_mins_spend_on_traveling_page,Cluster,UMAP_1,UMAP_2
1000025,Yes,255.0,iOS and Android,24465.0,1,1,Medical,83.0,2960,2,No,11,No,3,0.0,8.0,2,13.851065,2.3261693
1000026,No,397.0,iOS and Android,44870.0,1,3,Game,58.0,19094,4,No,11,No,4,1.0,26.0,3,5.791454,2.229793
1000027,Yes,240.0,iOS,39375.0,16,1,Financial,72.0,3919,1,Yes,22,Yes,2,0.0,10.0,2,15.940324,4.6084933
1000029,No,330.0,iOS and Android,16695.0,1,4,Medical,42.0,10248,3,No,14,No,4,1.0,24.0,2,7.5674963,5.2468896
1000032,No,330.0,iOS and Android,51065.0,10,4,Other,41.0,6465,2,Yes,13,No,4,0.0,9.0,2,11.850321,1.2023059
1000033,No,225.0,iOS and Android,4375.0,1,2,Medical,83.0,2206,1,No,13,No,1,0.0,10.0,2,14.964755,5.5952153
1000034,Yes,292.0,iOS and Android,31325.0,1,3,Entertainment,56.0,2086,3,No,14,No,3,1.0,19.0,2,6.901457,9.74909
1000035,Yes,180.0,iOS and Android,28455.0,1,3,Medical,61.0,2293,2,Yes,16,No,1,1.0,6.0,2,9.276644,10.264716
1000036,No,322.0,iOS and Android,44555.0,1,2,Medical,72.0,2645,1,No,12,No,4,2.0,6.0,2,4.449131,11.218852
1000037,Yes,375.0,iOS and Android,30415.0,1,2,Social media,86.0,2683,1,Yes,14,No,3,0.0,3.0,2,11.789989,2.337037
1000038,No,262.0,iOS and Android,31150.0,1,3,Social media,97.0,2014,1,No,13,No,1,0.0,2.0,1,16.19769,4.8950667
1000039,No,270.0,iOS and Android,29820.0,1,4,Financial,82.0,3419,9,Yes,14,No,4,1.0,6.0,4,9.102918,5.3093715
1000040,No,247.0,iOS,39935.0,1,Three,Financial,42.0,5376,2,No,19,No,1,2.0,10.0,2,4.829551,13.868962
1000041,No,262.0,iOS and Android,16240.0,1,2,Other,75.0,1951,1,No,12,No,3,1.0,1.0,2,6.36789,8.86314
1000042,No,202.0,iOS and Android,43400.0,1,4,Financial,33.0,2341,1,No,13,No,4,1.0,1.0,2,5.5481143,9.558999
1000043,Yes,195.0,iOS and Android,47495.0,25,3,Financial,48.0,2293,1,No,12,No,3,0.0,1.0,2,12.913091,0.80088496
1000044,No,202.0,iOS,34790.0,1,3,Financial,37.0,8726,1,No,15,No,4,0.0,9.0,2,11.753154,1.0493112
1000045,No,225.0,iOS,25235.0,1,2,Medical,58.0,4011,1,No,23,Yes,4,0.0,12.0,2,13.348765,1.3065168
1000046,Yes,307.0,iOS and Android,47600.0,12,3,Entertainment,49.0,19545,1,No,12,No,4,0.0,23.0,3,5.696392,1.7984641
1000052,Yes,210.0,iOS and Android,50190.0,1,4,Entertainment,50.0,3441,1,Yes,13,No,3,0.0,2.0,2,12.925489,0.8102988
1000053,No,330.0,iOS and Android,52080.0,1,5,Social media,75.0,5454,5,Yes,21,Yes,3,1.0,9.0,2,6.113964,7.0083175
1000054,No,262.0,ANDROID,38395.0,11,2,Medical,79.0,9884,2,Yes,13,No,3,1.0,10.0,2,5.9213424,8.087645
1000055,No,195.0,iOS and Android,50505.0,23,3,Social media,47.0,4157,7,Yes,19,No,3,1.0,5.0,2,7.2990537,10.544019
1000056,No,247.0,iOS,18025.0,1,2,Financial,98.0,13458,1,Yes,12,No,3,0.0,15.0,2,8.004317,1.8602494
1000057,No,262.0,iOS,29855.0,18,5,Financial,71.0,9069,1,No,22,Yes,4,1.0,9.0,2,5.5996156,8.343989
1000058,No,262.0,iOS and Android,39970.0,23,4,Medical,3.0,4014,3,Yes,15,No,3,1.0,4.0,2,11.31876,1.5196999
1000059,No,232.0,iOS and Android,22925.0,1,4,Financial,48.0,5915,3,No,22,Yes,4,1.0,10.0,2,5.1627474,8.673228
1000060,No,277.0,,39025.0,1,4,Financial,51.0,5993,1,No,18,No,3,1.0,7.0,2,6.451837,9.980572
1000061,No,240.0,iOS and Android,14945.0,1,3,Medical,33.0,6162,1,Yes,22,Yes,2,1.0,9.0,2,9.915236,9.731881
1000062,No,285.0,iOS,22855.0,29,5,Financial,50.0,2406,1,No,11,No,4,0.0,10.0,2,13.583606,1.4401777
1000063,No,375.0,iOS and Android,34615.0,1,2,Medical,43.0,18740,5,Yes,12,No,4,1.0,29.0,3,6.031388,1.810083
1000065,No,270.0,iOS and Android,42805.0,,3,Entertainment,59.0,10096,1,No,13,No,2,3.0,17.0,6,4.0282598,14.131806
1000066,No,412.0,iOS and Android,29260.0,1,3,Medical,33.0,14756,2,Yes,14,No,3,3.0,21.0,3,3.2675004,-1.8203279
1000067,No,270.0,iOS,41825.0,11,3,Financial,95.0,6499,1,No,13,No,3,0.0,6.0,2,13.1500225,2.0110354
1000069,No,262.0,iOS,23240.0,1,3,Medical,79.0,2194,4,No,13,No,4,1.0,5.0,2,5.7128234,8.276874
1000070,Yes,270.0,iOS and Android,11130.0,1,3,Medical,79.0,3388,0,Yes,17,No,1,1.0,2.0,2,9.787544,9.478894
1000072,No,217.0,iOS and Android,46480.0,1,3,,76.0,2703,0,No,23,Yes,4,1.0,6.0,2,5.455099,9.447555
1000073,No,232.0,iOS and Android,37870.0,1,4,Medical,87.0,2501,1,No,17,No,2,0.0,1.0,2,16.250101,4.6208024
1000074,No,240.0,iOS and Android,19180.0,1,3,Financial,66.0,6220,1,No,17,No,2,2.0,10.0,2,2.9130194,11.939626
1000075,No,270.0,iOS and Android,4620.0,1,3,Financial,55.0,3038,3,No,12,No,2,0.0,5.0,2,14.034233,4.709595
1000076,No,232.0,iOS and Android,26110.0,1,4,Financial,61.0,4424,1,No,23,Yes,4,0.0,11.0,2,13.356445,1.3436437
1000077,No,262.0,iOS and Android,27160.0,1,4,Social media,32.0,4312,0,No,14,No,2,0.0,16.0,2,14.514572,4.262098
1000079,No,277.0,iOS and Android,13895.0,1,4,Medical,3.0,13664,4,No,13,No,1,0.0,16.0,2,9.096439,7.3051305
1000080,No,345.0,iOS and Android,33075.0,1,2,Medical,80.0,5021,8,Yes,22,Yes,4,1.0,16.0,4,8.585688,5.264993
1000081,No,225.0,iOS and Android,29820.0,1,1,Financial,55.0,5126,1,Yes,12,No,3,2.0,10.0,2,3.1956072,12.2721195
1000082,No,262.0,iOS and Android,42490.0,1,3,Medical,3.0,2859,1,No,18,No,1,0.0,6.0,2,15.066665,4.5389657
1000083,No,412.0,iOS and Android,3885.0,1,2,Financial,70.0,10239,3,No,14,No,4,1.0,24.0,3,7.5208006,5.8224974
1000084,No,285.0,ANDROID,20055.0,1,3,Medical,79.0,5329,7,Yes,12,No,4,3.0,17.0,6,3.0197546,11.04861
1000085,No,255.0,iOS and Android,40355.0,1,2,Medical,94.0,4325,1,No,15,No,3,0.0,5.0,2,13.165073,1.956643
1000088,No,382.0,iOS and Android,15120.0,1,4,Financial,96.0,2075,3,No,23,Yes,2,2.0,10.0,6,3.223125,10.575927
1000089,No,225.0,iOS and Android,10080.0,1,Three,Financial,99.0,4152,1,No,19,No,1,3.0,11.0,6,5.8805413,13.638173
1000090,Yes,345.0,iOS and Android,23415.0,1,2,Medical,64.0,9619,1,No,16,No,4,0.0,9.0,2,10.5470085,2.287754
1000091,No,300.0,iOS,18550.0,1,4,Financial,78.0,13503,1,No,22,Yes,4,1.0,22.0,3,5.264886,6.368802
1000092,No,382.0,iOS and Android,22120.0,21,4,Social media,71.0,5441,0,Yes,22,Yes,4,0.0,11.0,2,10.770063,2.2245383
1000093,No,225.0,iOS and Android,46690.0,1,2,Medical,63.0,5209,1,Yes,12,No,2,3.0,11.0,6,3.892519,13.844657
1000094,No,345.0,iOS,22330.0,1,3,Medical,40.0,10673,2,Yes,13,No,3,1.0,21.0,2,7.538239,5.2309523
1000095,No,240.0,iOS and Android,38255.0,1,4,Medical,87.0,5010,1,No,16,No,1,0.0,12.0,1,16.314795,4.76962
1000096,No,405.0,iOS and Android,42595.0,1,4,Entertainment,60.0,13549,9,No,12,No,1,1.0,16.0,3,6.976789,3.4319198
1000099,No,435.0,,23870.0,10,4,Medical,37.0,13872,0,No,13,No,3,0.0,38.0,3,5.3654337,1.6606925
1000100,No,330.0,ANDROID,17115.0,23,3,Medical,67.0,2042,4,No,12,No,3,1.0,17.0,2,7.9000955,7.5044928
1000101,Yes,277.0,iOS and Android,28245.0,1,4,Tour and Travel,63.0,2073,4,Yes,22,Yes,4,0.0,7.0,2,12.088129,3.302959
1000102,No,240.0,iOS and Android,28945.0,1,1,Financial,71.0,2956,1,No,13,No,4,0.0,1.0,2,13.8923645,1.4867852
1000103,Yes,150.0,iOS,30485.0,1,3,Financial,66.0,2926,1,Yes,18,No,2,0.0,1.0,2,15.314423,4.7105145
1000104,No,255.0,iOS and Android,23275.0,1,4,Other,41.0,4809,1,No,14,No,3,0.0,16.0,2,14.235922,3.9637992
1000105,No,277.0,ANDROID,36400.0,1,2,Financial,100.0,5163,5,No,14,No,4,1.0,17.0,4,5.6784577,7.6148868
1000107,No,375.0,iOS,39025.0,1,3,Financial,73.0,18172,3,Yes,19,No,1,0.0,28.0,3,5.2390256,2.848838
1000108,Yes,187.0,iOS and Android,8400.0,1,3,Social media,46.0,5744,1,Yes,11,No,4,0.0,6.0,2,14.794265,1.8203226
1000109,No,187.0,iOS and Android,44800.0,1,1,Medical,64.0,2889,1,No,11,No,3,2.0,2.0,2,3.7557688,13.133101
1000110,No,165.0,iOS and Android,18690.0,15,3,Medical,59.0,2871,1,No,15,No,3,0.0,1.0,2,14.943452,2.3288248
1000111,No,382.0,iOS,50960.0,1,4,Medical,3.0,7484,3,No,20,Yes,3,0.0,23.0,2,10.901816,1.8381581
1000112,Yes,255.0,iOS,23030.0,1,3,Financial,66.0,6074,1,Yes,24,Yes,4,0.0,9.0,2,13.518452,1.3758296
1000113,No,405.0,ANDROID,4970.0,26,Three,Tour and Travel,3.0,17328,2,Yes,12,No,3,0.0,23.0,3,4.631842,1.1227216
1000114,No,180.0,iOS and Android,39445.0,18,1,Financial,52.0,2774,0,No,12,No,3,1.0,6.0,2,5.9249225,9.669709
1000115,No,255.0,iOS and Android,36085.0,1,4,Financial,45.0,4505,6,No,15,No,3,1.0,12.0,2,7.3651824,10.485336
1000116,No,277.0,iOS and Android,41615.0,1,3,Financial,87.0,7428,2,No,12,No,1,0.0,12.0,1,16.448956,4.789019
1000117,No,255.0,iOS and Android,47390.0,1,3,Medical,45.0,11631,2,No,12,No,4,0.0,14.0,2,11.747784,1.0320541
1000118,No,270.0,iOS,51345.0,11,2,Entertainment,92.0,9738,0,No,14,No,3,1.0,10.0,2,5.844787,8.066537
1000119,No,270.0,iOS and Android,32270.0,1,2,Financial,39.0,2835,5,No,22,Yes,1,1.0,7.0,2,7.940913,10.727883
1000120,No,322.0,iOS,13790.0,26,2,,92.0,16959,1,Yes,12,No,4,2.0,25.0,3,5.1790543,6.195644
1000124,No,382.0,iOS and Android,23940.0,1,3,Financial,51.0,19537,7,No,13,No,3,0.0,23.0,3,6.3824086,1.4061955
1000125,Yes,232.0,iOS and Android,8715.0,1,4,Financial,76.0,6172,4,Yes,18,No,2,0.0,12.0,2,14.412194,5.2311215
1000126,No,195.0,iOS and Android,29435.0,1,3,Other,46.0,2368,1,No,19,No,3,0.0,5.0,2,14.90059,2.3376565
1000127,Yes,435.0,iOS and Android,5145.0,23,4,Medical,94.0,10312,1,No,12,No,4,1.0,40.0,3,6.025598,2.217682
1000128,Yes,42.0,iOS and Android,18480.0,22,1,Social media,50.0,1675,1,Yes,19,No,4,0.0,0.0,2,15.112054,2.046718
1000129,No,165.0,iOS and Android,20790.0,1,1,Entertainment,100.0,2523,0,No,14,No,3,1.0,3.0,2,6.080744,8.92613
1000130,No,367.0,iOS and Android,16450.0,20,4,Medical,96.0,6567,1,No,14,No,3,0.0,16.0,2,12.847015,2.7576125
1000131,No,322.0,iOS,33495.0,28,3,Medical,72.0,4739,4,No,12,No,4,0.0,18.0,2,10.7905245,2.397829
1000132,No,375.0,iOS,28315.0,12,3,Social media,77.0,9208,4,No,11,No,4,0.0,16.0,2,10.486914,2.4607298
1000133,Yes,232.0,iOS and Android,18970.0,20,3,Financial,71.0,4559,3,Yes,11,No,3,1.0,4.0,2,6.6124086,8.87196
1000134,No,307.0,,28070.0,1,1,Financial,96.0,8189,3,Yes,13,No,3,1.0,12.0,2,6.6027393,7.4840875
1000135,No,195.0,iOS and Android,47425.0,25,1,Financial,61.0,2942,1,No,23,Yes,4,1.0,8.0,2,5.469521,9.5331
1000136,No,270.0,iOS and Android,7560.0,1,2,Medical,84.0,4941,6,No,20,Yes,4,2.0,7.0,6,3.4453456,11.0514765
1000137,Yes,382.0,iOS,40250.0,1,4,Financial,53.0,10650,2,No,15,No,4,0.0,18.0,2,10.384742,2.3348215
1000141,Yes,240.0,iOS and Android,36155.0,1,3,Medical,41.0,4200,7,No,22,Yes,1,0.0,10.0,2,12.865341,5.705368
1000143,No,285.0,iOS and Android,12740.0,1,5,Entertainment,32.0,4317,3,Yes,20,Yes,2,0.0,19.0,2,13.932614,5.0138903
1000144,No,225.0,iOS and Android,15330.0,18,3,Financial,75.0,2632,1,No,14,No,3,0.0,5.0,2,14.3004265,2.3782496
1000148,No,307.0,iOS,29995.0,10,3,Financial,91.0,17181,4,No,13,No,2,1.0,21.0,3,5.485027,3.4590516
1000149,No,307.0,iOS and Android,32655.0,1,4,Financial,94.0,2238,2,No,21,Yes,4,1.0,7.0,2,5.4843106,8.153809
1000153,No,397.0,iOS and Android,50260.0,1,2,Social media,34.0,2306,2,Yes,20,Yes,4,1.0,13.0,2,10.01034,2.2381537
1000155,No,240.0,iOS,33845.0,1,3,Social media,43.0,8998,1,No,14,No,4,0.0,9.0,2,11.757025,1.0591278
1000156,No,217.0,ANDROID,52360.0,1,1,Entertainment,41.0,4319,1,No,13,No,1,1.0,10.0,2,8.716463,10.632951
1000157,No,382.0,iOS and Android,40915.0,1,4,Medical,34.0,6132,2,No,17,No,3,0.0,10.0,2,10.949412,1.8250104
1000158,No,435.0,iOS and Android,40075.0,1,3,Medical,75.0,3346,4,Yes,20,Yes,2,1.0,9.0,4,6.3505564,6.7295046
1000159,No,300.0,iOS and Android,22050.0,1,4,Social media,67.0,10855,7,No,11,No,1,1.0,15.0,4,8.393002,6.973305
1000160,No,255.0,iOS,10605.0,1,4,Social media,75.0,2231,6,No,18,No,4,1.0,6.0,2,7.3850574,8.768961
1000162,No,202.0,,24185.0,1,3,Medical,57.0,2024,6,No,18,No,4,1.0,6.0,2,7.5410795,9.324296
1000165,No,202.0,ANDROID,50750.0,1,Three,Medical,79.0,2566,1,Yes,15,No,4,1.0,1.0,2,5.463857,9.425989
1000166,No,375.0,iOS and Android,50820.0,11,3,Financial,53.0,19926,3,No,15,No,2,0.0,21.0,3,5.9778557,2.675725
1000167,No,307.0,iOS and Android,16275.0,14,3,Financial,56.0,2451,4,No,12,No,1,1.0,13.0,2,9.63668,8.720885
1000168,No,225.0,iOS and Android,46865.0,1,3,,41.0,9419,2,No,12,No,3,1.0,12.0,2,6.1512012,10.294662
1000172,Yes,42.0,iOS,21070.0,1,1,Entertainment,100.0,2325,0,No,21,Yes,1,0.0,1.0,2,15.633665,5.270213
1000173,No,270.0,iOS,51800.0,1,2,Medical,3.0,2088,4,No,12,No,3,0.0,13.0,2,11.279113,1.5083903
1000174,No,225.0,ANDROID,3885.0,1,3,Medical,66.0,3072,1,No,11,No,3,2.0,12.0,2,2.5615368,11.956505
1000177,No,247.0,iOS and Android,4690.0,1,3,Financial,90.0,2500,0,No,14,No,1,0.0,4.0,1,15.017081,5.6976256
1000178,Yes,42.0,iOS and Android,10605.0,1,3,Financial,47.0,1102,1,No,22,Yes,3,0.0,1.0,2,15.112852,2.1957226
1000179,No,345.0,iOS and Android,18410.0,1,2,Social media,92.0,10453,1,No,25,Yes,3,3.0,24.0,6,4.931832,6.6039453
1000180,No,285.0,iOS and Android,48300.0,1,2,Financial,75.0,2288,1,No,12,No,3,0.0,2.0,2,12.864581,1.8063083
1000181,No,232.0,iOS and Android,4900.0,12,1,Medical,95.0,3929,8,Yes,23,Yes,3,1.0,7.0,4,7.5502467,8.744018
1000182,No,255.0,iOS and Android,22015.0,27,2,Medical,95.0,2311,2,No,15,No,4,0.0,9.0,2,13.564458,1.8028032
1000183,Yes,307.0,iOS and Android,47460.0,20,2,Social media,70.0,3140,1,Yes,22,Yes,4,0.0,4.0,2,12.339782,1.5163082
1000184,No,375.0,iOS and Android,11480.0,1,3,Medical,86.0,3690,2,No,15,No,4,1.0,5.0,2,5.248651,8.244523
1000185,No,397.0,iOS and Android,37940.0,13,2,Medical,57.0,4450,1,No,11,No,3,2.0,5.0,2,4.6272597,10.933489
1000186,No,247.0,iOS and Android,32585.0,14,3,Medical,72.0,2756,1,No,13,No,4,1.0,8.0,2,5.5653353,8.785439
1000187,No,300.0,iOS and Android,34615.0,1,10,Medical,46.0,19033,1,No,14,No,2,1.0,21.0,3,5.161107,2.135329
1000188,No,412.0,iOS and Android,24220.0,14,4,Medical,61.0,18722,8,No,11,No,4,0.0,36.0,3,6.312546,1.4460634
1000189,No,255.0,iOS,37415.0,1,1,Financial,45.0,9547,1,No,17,No,3,0.0,10.0,2,11.730814,1.0431515
1000190,No,382.0,iOS and Android,10955.0,1,Three,Medical,98.0,13734,3,No,18,No,3,0.0,21.0,3,7.1228266,1.836936
1000192,No,202.0,iOS and Android,31290.0,1,3,Medical,99.0,2279,1,No,16,No,4,0.0,7.0,2,13.558559,1.7506528
1000196,No,277.0,iOS and Android,10150.0,21,3,Financial,65.0,3564,1,Yes,12,No,1,1.0,8.0,2,9.987973,9.597229
1000199,No,285.0,iOS and Android,44135.0,1,4,Financial,88.0,6553,9,No,14,No,2,0.0,14.0,4,11.822004,5.985271
1000200,No,285.0,iOS and Android,37940.0,29,3,Entertainment,54.0,6261,3,No,18,No,1,1.0,9.0,2,8.16931,10.804414
1000201,No,202.0,iOS,16520.0,1,1,Entertainment,60.0,4298,5,No,19,No,3,1.0,6.0,2,7.4167395,9.304241
1000202,No,367.0,ANDROID,35070.0,18,4,Financial,92.0,6804,1,Yes,15,No,1,2.0,7.0,6,6.3015656,13.449671
1000203,No,255.0,iOS,30730.0,10,4,Medical,43.0,3815,1,Yes,17,No,4,1.0,5.0,2,5.320832,9.175364
1000204,No,300.0,iOS and Android,31675.0,19,2,Medical,99.0,2741,8,Yes,15,No,3,1.0,15.0,4,7.9399443,8.318104
1000205,Yes,285.0,iOS and Android,41300.0,29,1,Medical,70.0,6673,7,Yes,19,No,2,0.0,17.0,4,11.98307,5.968331
1000206,Yes,217.0,iOS and Android,4235.0,27,3,Social media,35.0,7639,1,No,22,Yes,4,3.0,10.0,6,3.3168669,12.217804
1000207,No,165.0,iOS and Android,39760.0,1,3,Financial,60.0,2328,1,Yes,16,No,1,1.0,4.0,2,9.130221,10.4059925
1000208,No,270.0,iOS,22225.0,18,1,Medical,73.0,2153,1,No,13,No,1,0.0,8.0,2,15.095948,5.287864
1000209,No,300.0,ANDROID,40285.0,1,5,Financial,63.0,4876,9,No,14,No,4,1.0,5.0,4,9.036481,5.25939
1000210,No,345.0,iOS and Android,22540.0,1,4,Medical,97.0,9396,7,No,16,No,3,1.0,17.0,4,7.951488,6.356403
1000211,Yes,240.0,iOS and Android,36575.0,1,4,Medical,32.0,10400,1,No,11,No,3,0.0,14.0,2,11.731502,1.021332
1000212,No,225.0,ANDROID,29015.0,1,1,Financial,88.0,8474,1,No,22,Yes,3,0.0,12.0,2,12.891689,1.987494
1000213,No,202.0,iOS,43470.0,20,3,Financial,90.0,9981,1,No,14,No,4,0.0,7.0,2,12.8534565,1.5586059
1000214,No,382.0,iOS and Android,51415.0,1,4,Financial,81.0,12490,5,No,16,No,4,2.0,16.0,3,6.0058436,6.2778955
1000215,Yes,225.0,iOS and Android,35175.0,1,3,Entertainment,88.0,2657,5,Yes,11,No,3,0.0,8.0,2,11.298352,5.006872
1000220,No,405.0,iOS and Android,40145.0,1,3,Social media,52.0,5940,2,No,14,No,4,1.0,16.0,2,10.013652,2.2592282
1000221,No,270.0,iOS and Android,48860.0,1,2,Financial,62.0,5914,8,No,16,No,4,0.0,16.0,4,10.800234,5.083616
1000222,No,247.0,iOS and Android,5145.0,1,4,Medical,47.0,2622,6,No,21,Yes,4,0.0,7.0,2,12.27498,3.9087958
1000223,No,277.0,iOS,23205.0,11,3,Other,47.0,12185,1,Yes,14,No,3,3.0,10.0,6,3.1705098,12.12162
1000224,No,285.0,iOS and Android,4165.0,1,3,Financial,76.0,10609,0,No,12,No,3,2.0,17.0,2,4.8716006,6.9110146
1000225,No,232.0,ANDROID,34265.0,1,4,Medical,90.0,4345,0,No,12,No,4,1.0,6.0,2,5.6407313,8.815776
1000227,No,277.0,iOS,11165.0,1,4,Social media,41.0,2793,4,No,17,No,3,1.0,13.0,2,7.6264772,7.8942814
1000229,No,262.0,iOS,33040.0,1,3,Social media,92.0,8789,1,No,14,No,1,0.0,10.0,1,16.380634,4.840329
1000230,Yes,217.0,,31360.0,18,1,Medical,86.0,2389,1,Yes,13,No,3,0.0,4.0,2,13.8525915,2.1232862
1000234,No,375.0,iOS and Android,29890.0,1,4,Medical,68.0,19517,3,No,11,No,3,1.0,32.0,3,5.1117477,2.3826635
1000235,Yes,247.0,iOS and Android,28455.0,14,3,Medical,58.0,2436,5,Yes,13,No,3,1.0,8.0,2,7.4442463,9.707125
1000236,No,322.0,iOS and Android,36190.0,16,3,Social media,80.0,16064,5,Yes,22,Yes,3,1.0,22.0,3,5.549776,3.4950001
1000237,Yes,247.0,iOS and Android,16275.0,1,2,Financial,39.0,2707,7,No,20,Yes,1,0.0,13.0,2,13.662042,5.6847687
1000240,Yes,240.0,iOS and Android,18025.0,1,Three,,62.0,3730,0,Yes,14,No,4,0.0,4.0,2,14.235675,1.5464491
1000241,No,292.0,iOS and Android,50085.0,1,4,Medical,96.0,2232,7,,14,No,3,3.0,7.0,6,5.062827,12.040687
1000244,No,300.0,iOS and Android,45500.0,24,2,Entertainment,62.0,3319,1,No,17,No,1,2.0,9.0,6,5.0149474,13.974727
1000246,No,232.0,iOS,46445.0,1,4,Medical,73.0,13675,9,No,12,No,1,1.0,9.0,4,10.827771,6.2264166
1000247,No,247.0,iOS and Android,29120.0,1,4,Financial,63.0,2911,1,No,13,No,3,1.0,2.0,2,6.440984,9.54127
1000248,No,255.0,iOS and Android,16450.0,1,4,Financial,84.0,5957,6,No,13,No,2,1.0,13.0,2,8.527188,8.849319
1000249,No,277.0,iOS and Android,35595.0,1,2,Medical,83.0,3920,2,No,14,No,1,1.0,17.0,1,8.776771,10.458203
1000251,Yes,277.0,iOS,17640.0,10,3,Medical,61.0,10048,6,No,11,No,2,2.0,17.0,6,8.012923,6.9836473
1000252,No,292.0,iOS,17675.0,1,4,Movie,64.0,10938,0,No,25,Yes,4,0.0,20.0,2,13.615572,4.1196938
1000253,No,217.0,iOS and Android,23275.0,15,3,Financial,60.0,2340,1,No,19,No,1,0.0,6.0,2,14.983691,5.0969496
1000255,No,217.0,iOS and Android,43645.0,,2,Social media,45.0,6931,2,No,14,No,4,1.0,10.0,2,5.763227,9.928354
1000256,No,187.0,iOS and Android,23975.0,,3,Financial,62.0,4898,0,No,12,No,4,2.0,5.0,2,2.6820664,12.317883
1000258,No,300.0,iOS and Android,49560.0,1,2,Medical,49.0,19436,0,No,19,No,4,1.0,22.0,3,5.5368323,2.004875
1000259,No,382.0,iOS and Android,29155.0,1,3,Financial,96.0,2723,1,No,11,No,2,0.0,1.0,2,11.7841835,2.3399565
1000260,Yes,232.0,iOS,10745.0,29,2,Medical,71.0,3479,0,No,11,No,2,0.0,6.0,2,15.197501,5.0517783
1000261,No,240.0,iOS,45885.0,1,3,Financial,100.0,2794,1,No,20,Yes,3,0.0,5.0,2,13.149604,1.9626695
1000262,No,285.0,ANDROID,46445.0,1,2,Financial,39.0,5249,3,No,18,No,4,1.0,13.0,2,5.8598647,9.963496
1000263,No,240.0,iOS and Android,4480.0,1,1,Entertainment,84.0,2176,4,No,13,No,4,0.0,9.0,2,14.140604,1.6797178
1000264,No,345.0,iOS and Android,17080.0,1,3,Entertainment,75.0,16872,3,Yes,12,No,2,1.0,28.0,3,4.302588,2.00439
1000265,Yes,210.0,iOS and Android,18515.0,1,4,Financial,79.0,3485,2,,11,No,3,0.0,5.0,2,14.310625,2.367989
